ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
118226,5367,The Killing of General J. J. Byrne,State Historical Survey Committee,31.17462,-105.35737,,Sierra Blanca,Hudspeth County,
118227,2590,Hudspeth County,Texas Highway Department,31.17463,-105.35739,,Sierra Blanca,Hudspeth County,
118230,2007,Fort Quitman,State of Texas,31.17970,-105.35742,109 Millican Street,Sierra Blanca,Hudspeth County,
118231,2591,Hudspeth County Courthouse,State Historical Survey Committee,31.17974,-105.35755,109 Millican Street,Sierra Blanca,Hudspeth County,
118232,11277,Fort Mason & Camp Llano C.S.A.,State of Texas,30.74805,-99.23127,201 Fort McKavett Street,Mason,Mason County,
118234,2771,Colonels John C. and William F. Upton,State of Texas,31.22600,-101.93713,205 East 10th Avenue,Rankin,Upton County,
118235,5613,Upton County,State of Texas,31.23195,-101.84294,,Rankin,Upton County,
118236,4200,Rankin,State Historical Survey Committee,31.23196,-101.84294,,Rankin,Upton County,
118237,5611,Upland,Texas Historical Commission,31.22599,-101.93722,205 East 10th Avenue,Rankin,Upton County,
118238,,John Nance Garner House,"National Park Service, United States Department of the Interior",29.21273,-99.79225,333 N Park St,Uvalde,Uvalde County,
118243,,Ever Changing Landscapes,,30.09258,-93.73543,610 Main Avenue,Orange,Orange County,
118244,11519,W.H. Stark House,Texas Historical Commission,30.09284,-93.73527,610 Main Avenue,Orange,Orange County,
118253,229,The Atelier Building,,32.75154,-97.33071,209 W 8th St.,Fort Worth,Tarrant County,
118254,8236,Rabbi Henry Cohen,Texas Historical Commission,29.30305,-94.79008,722 Moody Avenue,Galveston,Galveston County,
118268,5822,William Carey Crane,State Historical Survey Committee,31.39685,-102.35199,201 West 6th Street,Crane,Crane County,
118270,2871,Juan Cordona Lake,State Historical Survey Committee,31.39681,-102.35213,201 West 6th Street,Crane,Crane County,
118271,3129,Los Portales,State Historical Survey Committee,31.58512,-106.27334,1521 San Elizario Road,San Elizario,El Paso County,
118272,3715,Old County Jail,Texas Historical Commission,31.58587,-106.27436,1551 Main Street,San Elizario,El Paso County,
118275,4531,San Elizario,Texas Historical Commission,31.58527,-106.27303,1521 San Elizario Road,San Elizario,El Paso County,
118276,2877,Juan de Onate Expedition - 1598,Texas Historical Commission,31.58529,-106.27302,1521 San Elizario Road,San Elizario,El Paso County,
118277,1503,Espejo Beltran Expedition - 1582-1583,Texas Historical Commission,31.58530,-106.27302,1521 San Elizario Road,San Elizario,El Paso County,
